Rank,OEM,Bodystyle,Model,ap22,ap21,,
1,Maruti Suzuki,Hatchback,Wagon R,"17,766","18,656",,
2,1 Maruti Suzuki,MiJV,Ertiga,"14,889","8,644",,
3,TataAUto Pli,itZSUV,NEXON,"13,471","6,938",,
4,Hyundai,SUV,Creta,123654,"12,463",,
5,Maruti Suzuki,SUV,Vltara Brezza,"11,764","11,220",,
6,Maruti Suzuki,Van,Eeco,"11,154","11,469",,
7,Maruti Suzuki,Hatchback,Baleno,"10,938","16,384",,
8,Maruti Suzuki,Sedan,DZIRE,"10,701","14,073",,
9,Maruti Suzuki,Hatchback,Alto,"10,443","17,303",,
10,Tata,SUV,PUNCH,"10,132",14528,,
11,Hyundai,Hatchback,i10 Grand,"9,123","11,540",,
12,Maruti Suzuki,Hatchback,Swift,"8,898","18,316",,
13,Hyundai,SUV,Venue,"8,392","11,245",,
14,Mahindra,MIJV,Bolero,"7,686","6,152",,
15,Kia,SUV,seltos,"7,506","8,086",,
16,Maruti Suzuki,Hatchback,CELERIO,"7,066",367,,
17,Maruti Suzuki,Hatchback,S Presso,"6,694","7,738",,
18,Toyota,MUV,Innova Crysta,"6,351",1508,,
19,Kia,MW,CARENS,"5,754",3453,,
20,Kia,SUV,SONET,"5,404","7,724",,
21,Tata,Hatchback,Tiago,"5,062","6,656",,
22,Hyundai,Hatchback,i20 Elite,"4,707","5,002",,
23,Mahindra,SUV,XUV 700,"4,494",7894,,
24,Honda,Sedan,Amaze,"4,467","3,920",,
25,Maruti Suzuki,MIJV,XL6,"4,366","3,373",,
